plan_vector,condition_vector,training_class,exercise_count,exercise_names
"[0.2841152548789978, 0.5393157601356506, 0.3367196321487427, 0.339518278837204, 0.25, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08114133030176163, 0.14795105159282684, 0.13506604731082916, 0.5085805654525757, 0.8816822171211243, 0.9034565091133118, 0.6731521487236023]","[0.4532693028450012, 0.25331756472587585, 0.5024186372756958, 0.0, 1.0, 0.0, 0.0, 0.09529915452003479, 0.0, 0.0, 1.0, 0.03487328439950943, 0.0, 0.0, 0.0, 0.354694128036499, 0.6310189962387085, 0.4912562966346741, 0.6523199081420898, 0.315129816532135, 0.9877408146858215, 0.7132018208503723, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,4,bent knee lying twist (male);dumbbell palms in incline bench press;dumbbell lying single extension;dumbbell reverse spider curl
"[0.5819317698478699, 0.9590253829956055, 0.45444104075431824, 0.8349660634994507, 0.0, 0.4285714328289032, 0.0, 0.1428571492433548, 0.1428571492433548, 0.2857142984867096, 0.0, 0.0, 0.14053507149219513, 0.069579117000103, 0.11387225985527039, 0.5503889918327332, 0.5091109275817871, 0.5472214818000793, 0.841503381729126]","[0.3665602505207062, 0.30593010783195496, 0.6983704566955566, 1.0, 1.0, 0.0, 0.0, 0.16862055659294128, 0.0, 0.0, 0.0, 0.2800835967063904, 0.0, 0.0, 0.0, 0.2356119155883789, 0.5547628998756409, 0.617786705493927, 0.7691330909729004, 0.41827818751335144, 0.9833962917327881, 0.5926094651222229, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,7,dumbbell one arm upright row;cable squatting curl;lever seated row;smith incline bench press;kettlebell pistol squat;dumbbell front raise;dumbbell reverse spider curl
"[0.7434890866279602, 0.5385624766349792, 0.6723029017448425, 0.7762358784675598, 0.0, 0.3333333432674408, 0.0, 0.0, 0.3333333432674408, 0.3333333432674408, 0.0, 0.0, 0.09289940446615219, 0.12508711218833923, 0.25090858340263367, 0.5515619516372681, 0.9512764811515808, 0.7526261806488037, 0.9132287502288818]","[0.43192872405052185, 0.25183939933776855, 0.42029431462287903, 0.0, 1.0, 0.0, 0.0, 0.18270035088062286, 1.0, 0.0, 0.0, 0.032161612063646317, 0.0, 0.0, 0.0, 0.47675809264183044, 0.5455883741378784, 0.5172808170318604, 0.7636537551879883, 0.33163321018218994, 0.9697619676589966, 0.6739473938941956, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,3,lever front pulldown;cable squatting curl;dumbbell palms in incline bench press
"[0.24029113352298737, 0.6846702098846436, 0.4766122102737427, 0.7929738163948059, 0.0, 0.0, 0.1428571492433548, 0.0, 0.1428571492433548, 0.5714285969734192, 0.1428571492433548, 0.0, 0.0850915014743805, 0.061706703156232834, 0.12859833240509033, 0.8807553052902222, 0.8091090321540833, 0.5505613088607788, 0.5420534014701843]","[0.42049258947372437, 0.26873496174812317, 0.4735431671142578, 0.0, 1.0, 0.0, 0.0, 0.10304047167301178, 1.0, 0.0, 0.0, 0.1946021169424057, 0.0, 0.0, 0.0, 0.5568186044692993, 0.5393415689468384, 0.6884433627128601, 0.7007911205291748, 0.37692052125930786, 0.9747755527496338, 0.5085728764533997, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,7,weighted side bend (on stability ball);lever front pulldown;sled 45° leg press (side pov);cable squatting curl;barbell standing close grip curl;hack calf raise;lever seated row
"[0.49695539474487305, 0.9344480633735657, 0.3444789946079254, 0.5672143697738647, 0.0, 0.4285714328289032, 0.0, 0.0, 0.2857142984867096, 0.2857142984867096, 0.0, 0.0, 0.051135364919900894, 0.09686606377363205, 0.11126065254211426, 0.559408962726593, 0.5587631464004517, 0.8246051669120789, 0.8730224370956421]","[0.3936416804790497, 0.23542213439941406, 0.8380917310714722, 1.0, 1.0, 0.0, 0.0, 0.3407857120037079, 0.0, 0.0, 0.0, 0.17403173446655273, 0.0, 0.0, 0.0, 0.47132742404937744, 0.5784552693367004, 0.6899964213371277, 0.7890859842300415, 0.4137345850467682, 0.9688334465026855, 0.5155293345451355, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,7,smith incline bench press;dumbbell one arm upright row;dumbbell palms in incline bench press;lever front pulldown;cable decline fly;dumbbell front raise;cable seated curl
"[0.6870240569114685, 0.6181787252426147, 0.5510232448577881, 0.6196081638336182, 0.1428571492433548, 0.2857142984867096, 0.1428571492433548, 0.0, 0.1428571492433548, 0.1428571492433548, 0.0, 0.1428571492433548, 0.14011579751968384, 0.054544638842344284, 0.1561926305294037, 0.9752057194709778, 0.9451318979263306, 0.7278283834457397, 0.810066282749176]","[0.4170403778553009, 0.4372309446334839, 0.5392059683799744, 0.0, 1.0, 0.0, 0.0, 0.16401223838329315, 1.0, 0.0, 0.0, 0.12300144881010056, 0.0, 1.0, 0.0, 0.25603359937667847, 0.5054988861083984, 0.7132118940353394, 0.7722305655479431, 0.3929354250431061, 0.9810745120048523, 0.5578473210334778, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,7,dumbbell reverse spider curl;dumbbell one arm hammer preacher curl;cable seated curl;barbell standing close grip curl;sled 45° leg press (side pov);assisted hanging knee raise with throw down;impossible dips
"[0.5861114859580994, 0.4153839945793152, 0.4645020365715027, 0.7300584316253662, 0.25, 0.25, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0980370044708252, 0.14852860569953918, 0.17534779012203217, 0.8747891783714294, 0.6964946985244751, 0.9145821332931519, 0.7845407128334045]","[0.6101216673851013, 0.5326480865478516, 0.30226847529411316, 0.0, 0.0, 1.0, 1.0, 0.30030325055122375, 0.0, 0.0, 0.0, 0.42999279499053955, 0.0, 0.0, 1.0, 0.8183170557022095, 0.4170016050338745, 0.6013985276222229, 0.512674868106842, 0.3125309348106384, 0.9773483872413635, 0.2607826888561249, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",recovery,4,cable seated curl;impossible dips;lever front pulldown;dumbbell standing concentration curl
"[0.6701904535293579, 0.7326897978782654, 0.44326508045196533, 0.3506043255329132, 0.0, 0.3333333432674408, 0.3333333432674408, 0.0, 0.3333333432674408, 0.0, 0.0, 0.0, 0.11715731769800186, 0.10203076899051666, 0.25446367263793945, 0.7600817680358887, 0.9260907769203186, 0.7759534120559692, 0.7804690003395081]","[0.4272499680519104, 0.256100058555603, 0.40746963024139404, 0.0, 1.0, 0.0, 0.0, 0.21452011168003082, 0.0, 1.0, 0.0, 0.025412103161215782, 0.0, 0.0, 0.0, 0.5079973936080933, 0.41474631428718567, 0.6368671655654907, 0.575604259967804, 0.30689090490341187, 0.9759406447410583, 0.6121905446052551, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,3,barbell standing close grip curl;dumbbell over bench revers wrist curl;cable seated crunch
"[0.8373299241065979, 0.5085716247558594, 0.5094408988952637, 0.684366762638092, 0.0, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.4000000059604645, 0.20000000298023224, 0.0, 0.1296471804380417, 0.0959346815943718, 0.2684182822704315, 0.8844588994979858, 0.5331180095672607, 0.5229306221008301, 0.8104028701782227]","[0.4048900902271271, 0.31459128856658936, 0.5590372681617737, 0.0, 1.0, 0.0, 0.0, 0.10416644811630249, 0.0, 1.0, 0.0, 0.015691276639699936, 0.0, 0.0, 0.0, 0.5850593447685242, 0.6007940173149109, 0.65879225730896, 0.6726858615875244, 0.32310590147972107, 0.9646931290626526, 0.5250728726387024, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,5,kettlebell pistol squat;weighted side bend (on stability ball);smith leg press;barbell standing close grip curl;hack calf raise
"[0.22226327657699585, 0.6841006875038147, 0.5137693881988525, 0.4891379773616791, 0.0, 0.0, 0.0, 0.0, 0.25, 0.75, 0.0, 0.0, 0.1394217312335968, 0.06287483870983124, 0.16601990163326263, 0.6607913970947266, 0.5461453199386597, 0.7405726909637451, 0.8438923358917236]","[0.33398017287254333, 0.44097304344177246, 0.5475794076919556, 0.0, 1.0, 0.0, 0.0, 0.16087080538272858, 0.0, 0.0, 1.0, 0.08392000943422318, 0.0, 0.0, 0.0, 0.3423890769481659, 0.577353835105896, 0.4543180465698242, 0.5848218202590942, 0.3061336874961853, 0.9612218737602234, 0.7066381573677063, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,4,smith leg press;hack calf raise;cable squatting curl;lever front pulldown
"[0.5131886601448059, 0.6728320717811584, 0.3969882130622864, 0.43956756591796875, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.0, 0.08772841840982437, 0.05200712010264397, 0.16441583633422852, 0.6057239770889282, 0.6637486815452576, 0.5598810911178589, 0.9452636241912842]","[0.39748474955558777, 0.3446943461894989, 0.43464037775993347, 0.0, 1.0, 0.0, 0.0, 0.1367703229188919, 0.0, 1.0, 0.0, 0.12317001819610596, 0.0, 0.0, 0.0, 0.21812160313129425, 0.46238377690315247, 0.6377579569816589, 0.7009409070014954, 0.414198637008667, 0.9797608256340027, 0.4988803267478943, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,5,cable seated curl;bent knee lying twist (male);dumbbell palms in incline bench press;barbell incline bench press;smith incline bench press
"[0.8535842895507812, 0.30527403950691223, 0.3901331126689911, 0.4944896101951599, 0.1666666716337204, 0.3333333432674408, 0.3333333432674408, 0.0, 0.1666666716337204, 0.0, 0.0, 0.0, 0.09878098219633102, 0.13508175313472748, 0.11757752299308777, 0.9029324650764465, 0.527826726436615, 0.9211570024490356, 0.5258177518844604]","[0.525732696056366, 0.5380460619926453, 0.31509482860565186, 0.0, 0.0, 1.0, 1.0, 0.27763399481773376, 0.0, 0.0, 1.0, 0.39165058732032776, 0.0, 0.0, 1.0, 0.8765859007835388, 0.26583078503608704, 0.7883571982383728, 0.6716051697731018, 0.3261054754257202, 0.9620808362960815, 0.2802334129810333, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,6,barbell seated overhead triceps extension;bent knee lying twist (male);dumbbell one arm hammer preacher curl;barbell wrist curl v. 2;cable seated crunch;dumbbell one arm upright row
"[0.2803857624530792, 0.7274340391159058, 0.4154522120952606, 0.6178504228591919, 0.0, 0.2857142984867096, 0.1428571492433548, 0.1428571492433548, 0.0, 0.2857142984867096, 0.1428571492433548, 0.0, 0.06543627381324768, 0.098114013671875, 0.20651789009571075, 0.5259117484092712, 0.6683021187782288, 0.5672073364257812, 0.5316874980926514]","[0.221356600522995, 0.2637951374053955, 0.8189750909805298, 1.0, 1.0, 0.0, 0.0, 0.1546543836593628, 0.0, 0.0, 0.0, 0.15637095272541046, 0.0, 0.0, 0.0, 0.3786948621273041, 0.6386828422546387, 0.6632416248321533, 0.7205213308334351, 0.40713077783584595, 0.9684610366821289, 0.4532318711280823, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,7,dumbbell one arm hammer preacher curl;dumbbell reverse spider curl;barbell wrist curl v. 2;kettlebell pistol squat;hack calf raise;lever seated row;weighted side bend (on stability ball)
"[0.7187844514846802, 0.7021311521530151, 0.6367315053939819, 0.36558422446250916, 0.1666666716337204, 0.5, 0.0, 0.0, 0.0, 0.1666666716337204, 0.0, 0.1666666716337204, 0.12952673435211182, 0.07016272842884064, 0.13273118436336517, 0.582132875919342, 0.9072873592376709, 0.8325986266136169, 0.761532723903656]","[0.3737853169441223, 0.3244036138057709, 0.5552825927734375, 0.0, 1.0, 0.0, 0.0, 0.11816070973873138, 0.0, 0.0, 0.0, 0.17168255150318146, 0.0, 0.0, 0.0, 0.5003484487533569, 0.5763628482818604, 0.4809371531009674, 0.8207658529281616, 0.3673669695854187, 0.9847937226295471, 0.5460149049758911, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,6,dumbbell reverse spider curl;dumbbell one arm hammer preacher curl;impossible dips;lever seated row;dumbbell over bench revers wrist curl;assisted hanging knee raise with throw down
"[0.6856023073196411, 0.4167115390300751, 0.6514516472816467, 0.5688135027885437, 0.0, 0.1666666716337204, 0.3333333432674408, 0.0, 0.0, 0.3333333432674408, 0.1666666716337204, 0.0, 0.12414608895778656, 0.10731508582830429, 0.2995385229587555, 0.8762015700340271, 0.8534902334213257, 0.8892859816551208, 0.5715640187263489]","[0.6216145753860474, 0.3682573437690735, 0.2638627290725708, 0.0, 0.0, 1.0, 1.0, 0.39001238346099854, 0.0, 0.0, 0.0, 0.4146875739097595, 0.0, 0.0, 1.0, 0.6793782114982605, 0.2379632294178009, 0.598599374294281, 0.6017555594444275, 0.40031659603118896, 0.9837473630905151, 0.4868854284286499, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",recovery,6,weighted hyperextension (on stability ball);barbell seated overhead triceps extension;dumbbell over bench revers wrist curl;barbell standing calf raise;lever front pulldown;smith incline bench press
"[0.3271183967590332, 0.9359154105186462, 0.5333567261695862, 0.5147722363471985, 0.0, 0.5, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.0, 0.0, 0.0, 0.09620057791471481, 0.14472833275794983, 0.13067027926445007, 0.7931149005889893, 0.7529443502426147, 0.8057271242141724, 0.5090550780296326]","[0.31485867500305176, 0.2883060872554779, 0.9275408387184143, 1.0, 0.0, 0.0, 0.0, 0.22018299996852875, 1.0, 0.0, 0.0, 0.07859833538532257, 0.0, 0.0, 0.0, 0.2972872257232666, 0.4303368031978607, 0.4752320349216461, 0.7602907419204712, 0.30970174074172974, 0.9846557974815369, 0.561872661113739, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",power_hiit,6,dumbbell one arm hammer preacher curl;cable decline fly;dumbbell palms in incline bench press;barbell wrist curl v. 2;kettlebell pistol squat;dumbbell reverse spider curl
"[0.3591769337654114, 0.7255260944366455, 0.45172229409217834, 0.7109997868537903, 0.0, 0.1666666716337204, 0.1666666716337204, 0.0, 0.0, 0.5, 0.0, 0.1666666716337204, 0.07055798172950745, 0.12877899408340454, 0.2207443118095398, 0.557133674621582, 0.7072522640228271, 0.9317590594291687, 0.9614801406860352]","[0.3122812509536743, 0.27412843704223633, 0.8125599026679993, 1.0, 1.0, 0.0, 0.0, 0.3394497036933899, 0.0, 0.0, 0.0, 0.25067564845085144, 0.0, 0.0, 0.0, 0.13340029120445251, 0.6831440925598145, 0.5675212740898132, 0.6272665858268738, 0.42084723711013794, 0.9633359313011169, 0.5477875471115112, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,6,assisted hanging knee raise with throw down;lever seated row;sled 45° leg press (side pov);dumbbell front raise;lever front pulldown;barbell standing calf raise
"[0.5745487809181213, 0.42912399768829346, 0.4198383688926697, 0.4628210961818695, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.08973181247711182, 0.09267888963222504, 0.25995638966560364, 0.6746935248374939, 0.7341158986091614, 0.8124880194664001, 0.6888629794120789]","[0.38564538955688477, 0.37350523471832275, 0.32984206080436707, 0.0, 0.0, 1.0, 1.0, 0.3492089807987213, 0.0, 0.0, 1.0, 0.4924345016479492, 0.0, 0.0, 1.0, 0.6142848134040833, 0.41057974100112915, 0.5670787692070007, 0.6889667510986328, 0.30162060260772705, 0.9890963435173035, 0.2629479765892029, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,4,barbell wrist curl v. 2;dumbbell front raise;dumbbell one arm upright row;weighted side bend (on stability ball)
"[0.7878522276878357, 0.906895637512207, 0.46319380402565, 0.6009843349456787, 0.0, 0.0, 0.4000000059604645, 0.20000000298023224, 0.20000000298023224, 0.0, 0.0, 0.20000000298023224, 0.07538885623216629, 0.0696113109588623, 0.20110157132148743, 0.7975245118141174, 0.6696355938911438, 0.7847217321395874, 0.9437302350997925]","[0.2721389830112457, 0.3607708513736725, 0.5938605070114136, 0.0, 1.0, 0.0, 0.0, 0.15461957454681396, 0.0, 0.0, 1.0, 0.1391497403383255, 0.0, 0.0, 0.0, 0.4510232210159302, 0.525294303894043, 0.7203474044799805, 0.563633918762207, 0.33746176958084106, 0.9885123372077942, 0.7170791625976562, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,5,barbell incline bench press;assisted hanging knee raise with throw down;barbell wrist curl v. 2;kettlebell pistol squat;cable decline fly
"[0.8374367952346802, 0.7373328804969788, 0.43434634804725647, 0.7572041749954224, 0.0, 0.3333333432674408, 0.0, 0.1666666716337204, 0.1666666716337204, 0.3333333432674408, 0.0, 0.0, 0.08630592375993729, 0.05342281237244606, 0.26613089442253113, 0.6725960969924927, 0.886917233467102, 0.681378960609436, 0.9305340051651001]","[0.30643635988235474, 0.34273967146873474, 0.4706704318523407, 0.0, 1.0, 0.0, 0.0, 0.16673122346401215, 1.0, 0.0, 0.0, 0.1948789656162262, 0.0, 1.0, 0.0, 0.47926467657089233, 0.5108289122581482, 0.5428583025932312, 0.794138491153717, 0.39129748940467834, 0.964878499507904, 0.7232781648635864, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,6,dumbbell standing concentration curl;cable squatting curl;dumbbell lying single extension;smith incline bench press;lever front pulldown;kettlebell pistol squat
